URL,Source Code,Project Description,How its Made
https://ethglobal.com/showcase/photo-booth-h1pz9,https://github.com/jarrensj/photo-booth,"Photo Booth is a web application built with Next.js that allows users to take photos, add fun overlays including Nouns glasses and their ENS, and see all images uploaded by users from the same event. When you access this app you connect your wallet, then are able to take an photo with your webcam. We then allow you to add cool overlays like Noun glasses and your ENS. We also leverage walrus aggregator and publisher however it was down during the event.","We built the project using Next.js and used libraries like wagmi. We let the user take photos and we created an upload route to upload images to Walrus and a route to get images from the walrus aggregator. We used partners like Walrus (for the images hostings), Nouns (for their IP and incorporating their IP in as overlays), ENS (we let users connect wallet and then add their ENS overlayed on the image). This help increase and promote Nouns and ENS visibility and adoption."
https://ethglobal.com/showcase/zk-checkpoint-1humr,https://github.com/manav2401/zk-checkpoint,"Polygon PoS being one of the most used chains has a mechanism where it settles to Ethereum (L1) at regular intervals through checkpoints which is helpful for bridging. As a result, the consensus signatures are sent to L1 contract and signature verification for all validators is done on-chain. This incurs a lot of gas on ethereum and ~86% of total gas used is taken by signature verification for all validators (on mainnet, roughly 105). The costs gas go >250$ in case of high demand.","The project is made with the help of SP1, which allows to write the signature verification and validation logic in Rust and generate a proof out of it which can be verified on-chain."
https://ethglobal.com/showcase/bloq-9k8fv,https://github.com/DV0x/bloq,"Using LlamaIndex with The Graph protocol for indexing and serving on-chain data, and then leveraging that with agentic RAG (Retrieval-Augmented Generation) LLMs is a powerful approach. This setup allows for intelligent, context-aware querying of blockchain data with the added benefit of AI-driven insights.","We have used llama-index framework to semantically search on-chain data.Using LlamaIndex (formerly GPT Index) for semantically searching on-chain data is an innovative approach. It allows you to create more intelligent and context-aware searches of blockchain data. his setup allows for intelligent, context-aware querying of blockchain data with the added benefit of AI-driven insights."
https://ethglobal.com/showcase/securitymoduleforaa-ufcg7,https://github.com/PermissionLabs/ethglobal-24-sf,"A traditional EOA wallet is vulnerable, as a single exposure of the private key can immediately put all assets at risk. Additionally, when managing a smart account through multi-signature, there is the inconvenience of requiring signatures above the threshold every time a transaction occurs.","This project implemented smart accounts and attached the appropriate module using Safe Wallet. To create a management point separate from the EOA, we onboarded users through SPOT by utilizing Dynamic.xyz."
https://ethglobal.com/showcase/benderbite-331m7,https://github.com/wisemik/benderbite,BenderBite is an AI-powered assistant designed to enhance the EthGlobal hackathon experience by serving as a virtual employee with multiple interactive features. Here's a detailed breakdown:,"I have integrated XMTP for seamless messaging capabilities, allowing users to communicate effectively within the platform. To provide tailored guidance, I’ve utilized AI for context learning, drawing insights from previous hackathon winners to offer strategic advice on project development and presentation. For identity management, I’ve implemented smart contracts that facilitate ENS subdomain registration, ensuring that users can establish their unique digital identities on the blockchain. Additionally, I’ve incorporated Circle’s programmable wallets API, enabling the automatic generation of secure wallets for users, as well as Circle’s smart contract platform and used Circle for automated and transparent transaction processing, including bidding and reward distribution."
https://ethglobal.com/showcase/essenswap-82ygd,https://github.com/jeffklinck/EthSF,"In EssenSwap, the bids and asks are submitted as constraints, as required by Essential's declarative virtual machine. Every time there is a positive spread, an external solver bot is created that matches bids and asks and submits a solution to propose a new state of the system, viz., the updated balances of the bidders and askers.","EssenSwap consists of three components: front-end, solver bot, and blockend. First, we deploy smart contracts for standard fungible token contracts currently available on Essential. Then, we deploy a unique smart contract for every bid and ask order, with predicates that impose constraints on the swap price of a trade. After that, we build a rust-based script that performs on-behalf of a solver by sorting, and then matching bids and asks orders. The final solution is then submitted to the Essential blockchain through their API. Once the rust script receives a confirmation receipt, it updates the front-end display."
https://ethglobal.com/showcase/wilson-sound-intents-x147v,https://github.com/paulman5/ETHGlobalSF,"Bringing insights on chain, and generating value for data gatherings. Wilson is a toolset built on the Friend SDK that turns your voice into secure triggers for onchain actions. Simply pair your Omi, or other compatible wearable with your Omi app, add the Wilson extension, and tap the screen to complete the memory block whenever you want to process a command. Upon processing, Wilson will send the parsed statement to a server that will generate a response based on your trigger statement. If this is","Friend SDK produces a prompt that is sent to a webhook parsed before being sent to an available DA layer, where the request is staged to produce a response from Dynamic for wallet info, or XMTP for external actions. All Dynamic responses return as Sign attestation, under a schema that allows recipient to authenticate the response if they wish the result to be onchain. Otherwise, the insights from the contributor's personal device are shared with the local network once they submit a 'register' command, then all further insights are contributed to local pool until insight stream is 'plugged'. While streaming your insights via Wilson, you can use your device to capture and cultivate local data, post, share, and challenge others from your personal onchain history, and generate new historic intents. Each change in permissions possible thanks to zk toolset from Polygon, and assignable via ENS retrieval contracts."
https://ethglobal.com/showcase/real-lend-11w4v,https://github.com/mergd/reallend-ui,"Real Lend bridges real-world assets (RWAs) with decentralized finance, allowing borrowers to unlock liquidity and lenders to earn yields. Borrowers pledge assets like vacation cottages as collateral, with an oracle setting the value and posting it as a bond to guarantee the lender’s recovery. Lenders provide loans (e.g., 100k USDC at 10% interest) based on the asset's value. If the borrower repays, they reclaim the asset; if not, the lender recovers funds by selling the asset to the oracle at the bonded value. Lenders can exit early by selling their loan position through a Dutch auction, which starts at a high price and drops until purchased. Pools on protocols like Morpho improve liquidity, ensuring a smooth, secure, and flexible lending experience for both parties.","We built a decentralized protocol for real-world asset lending using Solidity smart contracts and the Foundry toolkit. Our core components include USDC.sol for managing loan payments, Cottage.sol to tokenize real estate collateral like vacation homes, and Protocol.sol to oversee loan issuance, repayments, and defaults. An oracle sets asset values and posts bonds, ensuring lenders are protected by guaranteeing recovery if borrowers default. In such cases, lenders can recover their funds by selling the assets to the oracle at the bonded value. To offer flexibility, we implemented a Dutch auction mechanism in DutchAuction.sol, allowing lenders to exit their loan positions early by dynamically selling them as prices adjust over time."
https://ethglobal.com/showcase/omi-fm-i6xxx,https://github.com/Derricks-DApps/Omi-FM,"AI powered Dapp that plays curated music for you based on the conversations analyzed by Omi. DApp created using Omi SDK for conversation analysis with its AI models. UI/UX is command line, using Python and Solidity to communication with Smart Contracts deployed to Skale, Flow, and Avail. Those contracts contain the logic for creating playlists and getting new songs.","DApp created using Omi SDK for conversation analysis with its AI models. UI/UX is command line, using Python and Solidity to communication with Smart Contracts deployed to Skale, Flow, and Avail. Those contracts contain the logic for creating playlists and getting new songs. ZK rollups handle bulk song creation off chain."
https://ethglobal.com/showcase/block-jack-21-t68nv,https://github.com/saniddhyaDubey/BlockJack-21,"I have deployed a multiplayer Blackjack game on the blockchain using a single smart contract that integrates the Phoenix Solidity library for encrypting sensitive data. The smart contract handles the entire game logic, including dealing cards, tracking bets, and determining winners, while ensuring that private information like players’ hands remains secure and hidden. This setup allows players to trust that the game operates fairly and securely on the blockchain.","I started with creating the smart contracts using solidity, Fhenix (FOH.sol) hardhat, and then deployed on sepolia for testing. Then, created the frontend with reactJS and Tailwind. At the end, used Helium PoW Faucet to get the tokens for Fhenix testnet and deploying the smart contract over there."
https://ethglobal.com/showcase/rhizome-1a0t5,https://github.com/in70/rhizome-protocol/,"A Bitcoin synthetics protocol allows users to create and trade synthetic assets—tokens that represent and track the value of other assets like fiat currencies, commodities, or equities—while using Bitcoin as collateral. With Rhizome, Bitcoin holders can participate on complex financial activities such as hedging, yield farming, and CDPs directly on the Rootstock EVM.","This project was based on the Compound v2 lending markets and heavily modified to support synthetic assets, but the synthetics protocol relies on stabilizers, which are optimized modules to keep the theoretical price of Rhizome synthetic assets. The entirety of the contracts were made used with Solidity, and integrated major Rootstock ecosystem tokens such as rBTC, rUSDT, RIF, and USDRIF in the code. The contract deployments were configured to use Umbrella Network oracles for rBTC/rUSDT prices, and were deployed on Rootstock mainnet as well to support all these assets."
https://ethglobal.com/showcase/kiss-or-slap-2-0-5yxze,https://github.com/yayashuxue/kissorslap-ethsf2024,"Kiss or Slap is a gamified dating app where users make strategic decisions in a fun social experience based on game theory's prisoner's dilemma. Players engage with each other by choosing either a ""Kiss"" or a ""Slap."" The outcomes vary:","Tech Stack:
nextjs + prisma"
https://ethglobal.com/showcase/artist-popup-8tqgc,https://github.com/devsodhirao/ArtConnectNFT,"The Artist Pop-Up NFT Platform is an innovative decentralized application that connects artists, attendees, and event organizers by combining physical pop-up art events with digital NFT technology. This platform allows artists to showcase their artwork and create NFTs that represent their pieces, giving collectors and attendees the opportunity to own unique digital collectibles linked to exclusive content. Using MetaMask, users can securely connect and interact with the platform, including minting new NFTs, transferring ownership, and accessing special content.",Revised Replit Instructions for Artist Pop-Up Event with NFT Integration
https://ethglobal.com/showcase/ezlaunch-p1gfa,https://github.com/DMomot/EZLaunch,"Our platform revolutionizes the meme token space by introducing an improved trading curve that outperforms traditional bonding curves. This curve ensures better liquidity management, providing users with an efficient and more balanced token trading experience. Meme token creators can easily launch their tokens, while traders benefit from improved price discovery mechanisms that stabilize market activity. The platform is designed to make token minting and trading accessible and intuitive, catering to the ever-growing meme economy and offering tools to ensure market sustainability.","This project was built using Solidity for smart contract development, leveraging the Uniswap v4 framework to implement custom hooks and an enhanced custom trading curve.
This curve ensures better liquidity management, providing users with an efficient and more balanced token trading experience. Meme token creators can easily launch their tokens, while traders benefit from improved price discovery mechanisms that stabilize market activity. The platform is designed to make token minting and trading accessible and intuitive, catering to the ever-growing meme economy and offering tools to ensure market sustainability."
https://ethglobal.com/showcase/rpft-jygem,https://github.com/Nishchit-Dev/EthGlobal-RPFT.git,the basic idea is to get Brand A and Brand B collab with each other and once they collab the user from Band A and Brand B should be able to transfer Points from one Brand to another one.,"This Project mostly uses the LayerZero's standards contract since we assumed that different brand might have their own chain some day with RoyaltyPoint in the smartcontract. smartcontract are developed for EVM on solidity and Test on HardHat using LayerZero CLI.
since I have used LayerZero technology it gave me so easy and smooth transaction of messages from one Layer to another Layer. with their builtin CLI hardhat testing."
https://ethglobal.com/showcase/earnify-4hks7,https://github.com/shubhank-saxena/eth-sf-submission,"A comprehensive platform that empowers aspiring influencers to earn instantly by completing tasks for brands, while helping companies boost engagement and promote their projects through real people.
We utilize dynamic wallet creation, account abstraction, task verification, and secure data handling to deliver a seamless experience.","This project utilizes the dynamic wallet for account abstraction and onboarding new users to web3. We also leverage the LIT protocol for encrypting/decrypting and running verification tasks in LIT actions. The sign protocol is used to attest the verified task and store information. Finally, we utilize the Coinbase developer pack to create an instant payment system for quick payouts."
https://ethglobal.com/showcase/loop-yjppn,https://github.com/shreybirmiwal/eth-sf,"Loop is an onchain platform for reinforcement learning with human feedback (RLHF). Developers or corporate teams can upload models from HuggingFace (by submitting a link) and issue cryptocurrency bounties for crowdsourcing output validation. Users can sign in via web3 wallet (or web2 social platforms) and utilize the chat interface for regular functionality (i.e., writing essays), while being prompted to validate outputs. These prompts thereby disseminate the crypto rewards, effectively creating a Validate-to-Earn model. Subsequently, the prompts, outputs, and users' scores are stored off-chain in a dataset, accessible to the devs/teams behind the associated model.","On the front-end, we built a responsive interface using React.js, implementing custom hooks for state management and modular components for content display and user interactions. Tailwind CSS provided a utility-first styling approach that dramatically accelerated our development cycle, while thirdweb's SDK facilitated seamless wallet connections and blockchain interactions across multiple networks. We deployed our front-end to Vercel."
https://ethglobal.com/showcase/splitoon-s5j5c,https://github.com/mrbrianhobo/splitoon,"imagine: you and your friends go out to eat and near the end, the bill comes. your friends all don't want to front the bill and neither do you. why? it's a hassle, you're out 30 bucks until they venmo you back. even worse, you have to keep reminding them to pay you or you might completely forget that you paid for this meal (unwillingly)",© 2024 ETHGlobal. All rights reserved.
https://ethglobal.com/showcase/supertweets-urhdz,https://github.com/Rishabhjava/ethactions,Project Description:,"The core of this project revolves around creating a seamless integration between social media content and blockchain transactions. We built a Chrome extension that interacts directly with the user's Twitter feed. The extension uses the Blinks SDK to dynamically replace standard links within tweets with interactive ""SuperTweets"" that allow users to engage in blockchain-based activities like minting NFTs, tipping creators, and more, all without leaving the platform."
https://ethglobal.com/showcase/readyvu-yc4hu,https://github.com/melnaquib/ReadyVU,"A few emerging tools are trying to offer useful and practical solutions for Radiology houses, Hospitals, etc., who are in real need of Solutions where they can outsource radiology writing expertise to remotely skilled doctors.
Current situation have many urging needs from patients’ point of view;
1- specialized radiologists exist in specific cities, lowering the quality of healthcare given to people living outside capital cities
2- cost and time involved by travelling doctors, travelling patients and thier famililes
3- untimely report writing, you may have you exam performed and then wait a day or two, in many place it can easily get longer
Also apparently problem does affect hospital businesses, radiologist looking to work conveniently remotely, and more free market, etc.",Technology components in action;
https://ethglobal.com/showcase/governease-17pde,https://github.com/Sohamkayal4103/ETHSF,"GovernEase is an innovative cross-chain DAO tooling platform that simplifies the creation and management of decentralized autonomous organizations (DAOs). Traditionally, setting up a DAO involves a complex process of coding, testing, and deployment. GovernEase streamlines this workflow, allowing users to create a DAO quickly and effortlessly by filling out a user-friendly form.","At the heart of GovernEase are two key features: zero gas fee transactions and cross-chain capabilities. By utilizing SKALE, users can engage with the DAO without incurring any gas fees, greatly enhancing both accessibility and user satisfaction. Additionally, I successfully bridged DAO data from the Sepolia testnet to the Polygon Cardano testnet using the Unified Bridge (Agglayer), highlighting the platform’s ability to operate seamlessly across multiple blockchain networks."
https://ethglobal.com/showcase/flowbets-u48sh,https://github.com/shrithan1/betflow,"This project uses a combination of smart contracts and web2 frontend frameworks to design a onchain betting application that allows users to wage predictions on sports games, specifically football (NFL). We deployed smart contracts on Flow's testnet and enabled wallet integration. Users can also see the average price, their shares, and potential returns per bet. Additionally, we integrated a chatting feature where users on the platform can communicate regarding bets.","For this project, we used Solidity smart contracts deployed on Flow's testnet through hardhat. For the frontend, we utilized Next.js with shadcn components and rainbowkit for wallet integration. We used wagmi to connect the backend with the frontend. We implemented the odds by using a crowdsourcing model where the probability of an event happening was equivalent to the amount of money bet for this event. People's willingness to bet on an outcome directly correlates to the odds for that event."
https://ethglobal.com/showcase/pixelproof-exdzo,https://github.com/shyam-patel-kira/pixelProof,"In today’s digital world, the ability to create, modify, and distribute visual content has become more accessible than ever. With advancements in artificial intelligence (AI), it’s now possible to manipulate images in ways that are nearly undetectable to the human eye. AI-driven tools like deepfakes, image generators, and sophisticated photo-editing software have made it easy to alter or fabricate images that appear authentic. While these technologies offer creative and practical benefits, they also present serious challenges—especially in terms of trust, authenticity, and misinformation.","Our project, PixelProof, is a novel application of zero-knowledge proofs to verify various image conversions without revealing the original images. Here's a breakdown of how we built it:"
https://ethglobal.com/showcase/pintauction-jpwjo,https://github.com/0xn4utilus/PintAuction,"A Dutch auction platform written in Pint, Essential's DSL for declarative smart contracts, focused on logic rather than execution. The users can mint new currency, transfer currency via the essential-wallet. The users can create auctions from item_id, owner and initial_cost, since it is a Dutch based auction platform, the right to lower the cost of the auction item depends solely on the owner and owner can use the step-auction using item_id, decrease_amount. Once a bidder places bid higher than the cost of the item, and respective validity constraints meet, the amount is deducted from the bidder, and awarded to the owner and the state changes and new owner of the item becomes the bidder. The auction is also marked as closed and the earliest bidder gets the ownership.","The smart contracts are written in Pint, and the CLI is written in rust(taking essential-contributions/token example) as a base. The frontend is written in next.js and there is also a small python server that eases the interaction between the frontend and provides the details of all the items i.e item_id, owner, auction_active status, cost."
https://ethglobal.com/showcase/bet-nqbcs,https://github.com/finessevanes/bet,"Share your goals with friends and set up a system of accountability. You create a goal and place a financial stake as motivation. If you complete the goal, your friends must attest to your success. If they don’t verify the accomplishment within the set time, you forfeit the stake. This encourages commitment by putting real value on your progress. Whether it's personal or professional, the system ensures you stay motivated, with rewards for follow-through or a financial loss if you don't succeed.","This app is developed using Solidity as the primary smart contract language. I had initially planned to integrate Sign Protocol for handling the peer attestations, which would have allowed for decentralized verification of goals and claims. Unfortunately, due to time constraints and the complexity of the integration process, I wasn't able to incorporate it before the deadline. However, adding this feature in the future would greatly enhance the functionality and ensure a more robust and decentralized attestation process."
https://ethglobal.com/showcase/socialfly-qa3o7,https://github.com/tms7331/socialfly-account,This project combines Sign protocol with Lit protocol to create the foundation of a social networking app.,"Lit and Sign are used.  Lit is used for encrypting data, Lit actions are used for decrypting the data, and Sign is used for storing the data.  Sign's schemas are used to represent particular types of data, while Sign's query functionality is used to efficiently access the data that's relevant for a given app."
https://ethglobal.com/showcase/web3warfare-qq1r9,https://github.com/pane2004/web3warfare,"Web3Warfare is an immersive, real-life laser tag game that merges physical action with the innovative possibilities of blockchain technology. Players engage in thrilling laser tag battles, equipped with real-world hardware components like laser guns, sensors, and 3D-printed gear. These hardware elements track player performance, hits, and gameplay metrics in real time.",How It's Made: Web3Warfare
https://ethglobal.com/showcase/liquid-yo7bg,https://github.com/arvindkalra/SmartBridge,"Liquid is a crowd-sourced and incentivized bridging protocol using Layer Zero's OApp interface. Users can provide liquidity to the bridge on either side and when their liquidity is used by somebody trying to bridge, they are incentivised for providing liquidity to the protocol.","We made use of Layer Zero's cross-chain messaging protocol (OApp), to send messages across chains. For the MVP we used Morph and Arbitrum Sepolia testnet to deploy our contracts, and one can provide liquidity of USDT on either side and others can use that liquidity to bridge their USDT tokens."
https://ethglobal.com/showcase/ai-fans-k8x9r,https://github.com/RevanthGundala/AIFans,"This projects combines the technologies of AI and crypto to create a user experience similar to OnlyFans. The idea of the project is to enable users to create their own AI partners, with each partner having control of their own wallet. This means that users can create their partners, but anyone can chat with them, and they are able to make their own decisions and transact onchain.","The project uses XMTP, Walrus, and Phala at its core to power the user interface, storage, and security respectively. XMTP allows users to easily chat with their AI partners, tip them, perform onchain transactions all within one interface. Walrus is used directly in the solidity code, as each AI avatar is given a Soulbound NFT, in which the imageUri is actually a blob on walrus. In addition, the actual walrus site is stored onchain, linking the agent to their respective walrus site. Phala is used on the backend with docker to enable a trustless system where AI agents can be created at runtime. Each agent has their own wallet that is deterministic, enabling these agents to transact onchain. This is also done through a trustless manner, as all backend code is secured by TRS and execution is done within TEEs."
https://ethglobal.com/showcase/autowebchain-8jbmi,https://github.com/EladWarshawsky/browser-extension,"Websites are considered out-of-distribution data for LLMs, meaning they aren't naturally optimized to handle such content efficiently. While LLMs can navigate websites, their performance could greatly improve with specialized fine-tuning. During our work, we managed to integrate support for models like 4o-mini, SLMs (which we later removed for performance reasons), and LLama 3.2 B. Additionally, we explored optimizations for better handling of web data and improving interaction across various web environments.","We utilized Walrus to simulate the addition of model weights into a network for efficient storage and retrieval as blobs. This allowed users to download these blobs and run the models directly, enabling them to automate tasks in their browsers. The automation was based on a simplified DOM model inspired by Taxy AI's implementation, making it more user-friendly and streamlined for common web interactions. Throughout this process, we added support for models like 4o-mini, SLMs (which we later phased out for performance reasons), and LLama 3.2 B. Though the latter models were eventually removed, their integration provided valuable insights into handling model storage and execution. Additionally, we enhanced the compatibility between model blobs and browser automations, improving overall flexibility and performance for end users."
https://ethglobal.com/showcase/gains-gladiator-qvbnj,https://github.com/Gnome101/GainsGladiatorD,"The project uses LLM AI agents to power the reasoning and decision making behind the trading bots. Additionally, the project has a marketplace where user's can buy, sell, or lend their prompts behind their agents. The project also features a bridge for the Agents to use in their investing that relies upon Lit Network for trust less swap of assets on either chain.  The project also has a prediction market where user's can bet on which gladiator that they believe will win the competition.","The project also makes use of Lit protocol for the trust-less execution of cross chain swaps. These work by creating a programmable key pair on each chain that waits until both assets on each chain have been received. When they are received then the lit action can be executed which produces the signed transactions that complete the transfers on both chains. The protocol also makes use of Story Network for the management of the data relevant towards the agents. The prompts that each AI agent has is first registered as an NFT and then onto Story. After the IP is created, then another user is able to mint a license token which they can use to then implement a copy or they can use a derivative to create their own agent. The royalties module was also configured so that the initial creator could receive rewards. A simple lending system was also built on top of this that allowed for a license token holder to lend their license out to any other user.
The prediction market was custom made and deployed to Flow Blockchain, where we used the advantage of them being a consumer focused app."
https://ethglobal.com/showcase/fuse-5wsiz,https://github.com/DiegoJRR/fuse,Craft to explore what is possible! Combining concepts with GenAI you'll get NFTs for new pairs that haven't been discovered.,"We're storing NFT metadata in Walrus, a decentralized storage service. For signup we're using Dynamic, to lower the barrier for new crypto users."
https://ethglobal.com/showcase/photo-danksharding-11yph,https://github.com/0xPenryn/photo-danksharding,"Social media doesn't need to be permanent! Blobs are a great way to have data available for a known period of time while automatically expiring. Gas fees would be paid by advertisers, who contribute funds to a FIFO queue, and have their logo displayed while they're at the top of the queue.","Alchemy Account Kit v4 for user wallet creation. Viem for on-chain interactions. Next.js frontend eployed to Vercel and leveraging Vercel KV for Redis caching of available posts on-chain. Explored using thirdweb engine for the backend wallet to submit the blob transactions, but found that the only efficient way to move forward was a private key in my env vars 🥴"
https://ethglobal.com/showcase/mysfgame-fsd4k,https://github.com/xinsianna/ethsf,"This is a simple browser-based game that uniquely blends the elements of San Francisco with blockchain technology. Players navigate a stylized, fog-covered San Francisco cityscape as a customizable pixelated cable car, their goal being to collect valuable, city-themed NFTs such as the Golden Gate Bridge, Painted Ladies, and sourdough bread. The game's core mechanic revolves around using ""Fog Coins,"" the in-game cryptocurrency, to disperse the virtual fog and reveal hidden NFTs. As players accumulate these digital assets, they can engage in peer-to-peer trading using smart contracts on the game's simplified blockchain. The gameplay loop is enriched by San Francisco-themed quests, which not only provide players with additional Fog Coins but are also recorded as transactions on the blockchain. A blockchain-based leaderboard adds a competitive element, ranking players based on their NFT collection's value. This game concept not only serves as an entertaining introduction to blockchain technology and NFTs but also captures the essence of San Francisco's tech-forward culture and iconic landmarks in a playful, accessible format.","I've created a basic implementation of the CryptoFog game using HTML, CSS, and JavaScript. This version includes the following features:"
